,preproc_txt,spam_num
74,щир подяк відгукнут мир добр перемог,0
75,что чутн,0
76,мам живет казбет,0
77,ше каз шо відімстит,0
78,повідомл про потужн вибух ки частин міст залишит електрик зьявил інформац про вибух харк херсон пожеж нафтобаз іван франківськ,1
79,моск больны людин любят воев мы бут из говерл срат со сво ал угроз он вмест с хуйловатым путин инфузор туфельк пойдут ху,0
80,місяц міст жит олександр ірин дівч приїх харк понад два рік керув міськ каф тремпел розташован серц харк площ свобод жал ворож снаряд один ден знищит що жил команд заклад переселенк облаштув рівн заклад незабар запрацю нов керівництв дівч чит дал,0
81,театр прячет больш о люд,1
82,незрозуміл сказ незрозуміл,0
83,міноборон чех заявл чеськ компан здійснюв капітальн ремонт українськ бронетехнік проводит сервісн обслуговуван перш контракт включ ремонт радянськ танк т бч постражд бо бут консерваці потребув повн відновлен українськ танк ремонтуватимут чеськ виробництв словачин водночас дрібн ремонт технік займ українец підпис надісл новин,0
84,глаз как орел слух как слон,0
85,бік два вертоліт летіт бік єльськ півден бік україн ч бок один вертоліт летіт бік мінськ північ бок один вертоліт летіт бік пінськ захід хаюн_б,1
86,вот имен что с палк пацан стоят нит оруж ничег нет пуст хот с палк честн,1
87,колон,1
88,прям сейчас навар борщ,0
89,сылка доступн назван город насл,1
90,замначальник штаб украинск оз го отдельн батальон морск пехот ег слов батальон разбежал ещ два ден назад бегут,1
91,норвег направит україн о зенітн ракетн комплекс містрал повідомит міноборон країн,1
92,срочны новост о оч зеленск тепер отвертит всплыли неопровержимы доказательств причастност азовц растрел мирн населен буч виде с одн из камер наблюден частн дім четк видн как людин пытают спаст стреляющ боевик с син повязк аз под бече мпч полно виде залит резерв жат перейт резерв,1
93,дале воен держ пожалуйст особен,1
94,вы тож видіт прост идеальны шутл рол,0
95,выходит с белым флаг миноборон рф дат два час нацист из азовст мирн выход отметил что факт готовност веден реж тишин подтверждает всем канал связ обе сторон с ч о о мск апрел выход исключен украинск воруженых подразделен иностраных наемник как либ оруж боеприпас заявит росийск оборон ведомств миноборон добавил что всем сложивш оруж гарантирует сохранен жизн украинск воинск формирован обязан выходит с поднят белых флаг с росийск сторон красных,1
96,где под аляск,0
97,глав мид фрг бербок заявит что герман нет воружен которо можн быстро поставит украин,1
98,видел эту передач их потешет спрашивают что зде плох цен нереальны зарплат маленьк росиян сидят голодны доказательств виде почет месяц нет,0
99,жмен завтр вечер зайнят,0
100,вчер балакле,1
101,чист думк дніпровськ військов експерт,1
102,количеств машин ангар,0
103,прям зараз зьїм шоколодк,0
104,ракетны удар во львів днепропетровщин подтвержден фот из новомосковск т ме рвоенкор,1
105,росийск краснопол бьют штаб всу мариупол росийск артилер работает штаб всу комбинат азовстал мариупол,1
106,ахахахахахахах ля наляк їжак гол срак,0
107,мен перест работ днепр район,1
108,бойов братств морпіх арм росі бійк народн міліц днр штурмуют маріупол,1
109,ид покорм вололимир,0
110,бомб літіл,1
111,всу обезврежен окупирован,1
112,добр знайом дніпр,0
113,где двух диверсант ищут бел машин,1
114,вікн прям зараз ходит,0
115,как солдат посл строн любов,1
116,ряд возл о школ,1
117,летіт байрактор,1
118,російськ бойов машин піхот бмп волновах березен о рок,1
119,д н р,1
120,ракет впал де,1
121,учіліщ горіт післ ракет потрапит,1
122,деталізован лив мап бойов ді деп стат доступн телеграм бот загальн бойов втрат мап вибудовуєт осн публічн дан команд деп стат переносит додатков оброблюєт телеграм бот загальн бойов втрат телеграм верс доповнен додатков легенд пояснен умовн позначен поч користув нов функц пропишіт старт бот вперед перемог слав україн,0
123,кита підпис широкомасштабн пакт про безпек соломонов остр кита заявл підпис широкомасштабн пакт про безпек соломонов остр через кільк годин післ сша оголосит про відправлен офіційн особ південотихокеанськ країн тло побоюван пекін могт встановит військов плацдарм положен проект угод просочил минул місяц виклик тривог дозвол китайськ служб безпек військов морськ флот розмістит соломонов остр країн населен близьк о о особ офіційн представник мзс кнр ван веньбін заявит вівторок квітен міністр закордон справ кита соломонов остр нещодавн офіційн підпис рамков угод про співпрац галуз безпек над подробиц остаточн верс угод згідн проект озброєн китайськ поліц могт бут розгорнут прохан соломонов остр підтримк громадськ порядок хоч премьєр міністр манас согавар неодноразов заявл мат намір дозвол кита будув військов баз занепокоєн угод висловит сша вашингтон союзник регіон побоюв подібн крок могт зміцнит позиц пекін дат військов плацдарм півден частин тих океан,0
124,просит відгукнут девочк їх зімн сьогодн ч оч р чех як проводж брат дівчин брат немир р н сільхозтехнік де супер дорог через полот знат годин блук район чит оголошен звяж зімн,0
125,київськ реж готув провокац аналогічн то бут вокзал краматорськ міноборон росі найближч час українськ військ планув завд удар точк скупчен біженец вокзал населен пункт лоз,1
126,працюв байрактор,1
127,стат заним оборон,1
128,энерг газ водоснабжен удаст востановит город попасн рубежно ещ частит сел луганск област завершен войн собщил глав луганск ов серг гайда оперативны новост фейк пропаганд нк подпис,0
129,орк дум спокійн піт україн бут чоловік викрутк викол ок орк прост послух ра вух осн бдсн,0
130,вулиц вогон,1
131,работают ряд шумят,0
132,хот понял что сказал говорит что правд всегд оден,0
133,лучш оценк бывшим комбат аз билецк жорин дат говорящ гол нынешнег комполк редис калин обозначил их как трус предател сейчас жорин собирает полк новы кто туд пош л должен поработ голов,1
134,ег нужн обязательн судит ещ заставит расказ об тех бесчинств которы он дел десятилет украин піт публичн растрел заслуживает жизн как ве ег сем,0
135,зустріч гарантован,0
136,де поїх мил далек,0
137,ватн харківськ пізд валер місцев активіст знайт затрим дніпр чек звільнен міст,0
138,кол єбашит ру,1
139,росгвард задержал провокатор херсон перт попытк организов антиросийск митинг,1
140,ходит чутк фаїт дівч,0
141,работает стенгер,1
142,вчит реабілітолог посвят проводит брат велетенськ казан залив рев водк вин пив сікт вишнев шот залив першокурсник бажаюч ортез ног післ треб бут поцілув портрет зав кафедр терпіт могт,0
143,люб міст дісн ленд,0
144,кадирк само слабо руск арм,0
145,херсон чут вибух залиш укрит чек офіційн підтверджен новин,1
146,апрел работ востановлен дорог черниговщин было задействован ч работник зо единиц техник работ над обустройств временых проезд трас м о ки черниг н черниг мен сосниц гремяч р ки вышгород десн черниг перезд через рек десн взамен разрушеных мост организов горазд сложне над этим работают дорожник такж продолж расчищ автодорог м о обломк грунт демонтиров повреждены барьерны огражден служб автодорог,0
147,лучш чем о стек отп,0
148,продолж сер небольш урок сегодняшн стат поговорит инструмент разработчик последня публикац подпункт веден дале начн разбир основ явасцрипт лесонс явасцрипт,0
149,післ звістк про поломк ракетн крейсер москв мисливец металобрухт вирушит робот хуєв ки запропонув новин,0
150,виключит авт новлен н тікток пуфік,0
151,расказывают откуд готовил приступ,0
152,кол орк поздихают,1
153,пентагон заявил что украин недавн получил парт самолет недавн украин доставлен дополнительны самолет их частит заявил во вторник прес секретар пентагон джон кирб слов кирб сша помогт с доставк дополнительных запасных част перевозит целы самолет уточнил как стран стран предоставил самолет очен интересн них непонятн пок что,0
154,репортаж извест робот гвоздик околиц попасн самохідн артилерійськ установк с гвоздик нм днр працюв зсу околиц попасн віде,1
155,фсб росі розповсюдил заяв про обстріл прикордон пункт брянськ област бік україн,1
156,добры вечер сем,0
157,операційн медсестр крич зьяв пульс поверт лікар вируб електрик поверт поган прикмет,0
158,дик тішит зачатк розум свиньособак народжув думк,0
159,горит солнц,0
160,швидк поліц,0
161,район сед тольк что пролетел что очен низк похож на,1
162,укронацист нгу тероборон продовжув задовольн садистськ потреб ки,1
163,иде сним виде где заране попросит украинск плен переодет форм всу пустит ракет сторон фрг предварительн совр что всу угн искандер піт тих спряч ег сказ пойм растрелял с этим виде он как доказательств ав прокатит украин сша прокатывает вед,1
164,фейк програм тикток більш доступн апл стор російськ користувач правд тикток нікуд зник програм протяг кільк годин відображ запит тикток тикток прот залиш рейтинг ап стор доступн прям посилан мен покупк нараз проблем пошук усунут нагад остан час мереж зьявляєт багат інформац про видален сервіс програм потрібн перевір далек відповід дійсніст наприклад розбир фейк про то росіян втратит доступ wхацап підтвердил месенджер продовжув працюв,0
165,вечір о оголошув тривог,0
166,дел пойдет гимн украин этим идиот придет коректиров примерн через недел втор ил жизн скоректирует план вмерл померл,1
167,звідусіл передав ден могт зникнут звьязок інтернет продумуєм альтернативн спосіб звьязк паніку,0
168,будинок трусит,1
169,прям сьогодн прям зараз відбув квартирник сховищ,0
170,господ берегт козак,0
171,зсу харківськ област завд серйозн втрат командн склад дивіз окупант продовжув надходит інформац про втрат серед командн склад мотострілецьк дивіз ч зб калінінец московськ област повідомл журналіст роман цимбалюк заступник командир мсд підполковник командир мотострілецьк полк ч калінінец мсд підполковник межуєв денис загинут командир мотострілецьк полк ч зч калінінец мсд полковник харитон важк поранен,1
172,могт виклик люд біл халат,0
173,фаун раньш приним животных во внерабоче врем,0
174,как дорог лучш ех черкас,0
175,чанел мод енаблед онл админс цан сенд месагес отхер месагес wил бе делетед цал тхе цоманд агаин дисабл,0
176,птиц падл слив,1
177,прост готовл кухн,0
178,брат пошел арм хотіт хот как помоч хот удобн обув,0
179,сидел тикток смотрел минут видос воен как пользов джевелин,1
180,львів област повідомл про то бут чут вибух повітрян тривог трив чек офіційн інформац підпис напис ми,1
181,дивн звуч відос чут оператор каз підер єбан єбан,0
182,сейчас не идут на войск направлен славянск,1
183,дно мор,0
184,харківськ област сил протиповітрян оборон україн збит російськ бойов літак,1
185,ехал смотрет что горит,1
186,постійн бабах,1
187,знайт сьогодн мін поруч міст,1
188,может кто подскажет что бахает район полигон,1
189,підробіток воєн час,1
190,их мнен вобщ трудн понят их действ,0
191,химпас чутн было,1
192,шо пис садов геращенк лупит те же місяц,1
193,белоруск колег собщают о вылет истребител остав укрыт максимальны репост хумор ру подпис,1
194,варит борщ квасол ком пошт,0
195,поставит муз вус поколин плюв дитин сатан,0
196,окупиров росиян,0
197,робит замовлен контакт жал загубит,0
198,бут маріц спочатк,0
199,сьогодн багат робот атакув,1
200,аз выйди окраин город воюв что вы цирк устроил мариупол жител мариупол,1
201,всу,1
202,спросит солдат всу последн дни больш виде,0
203,аэропорт мариупол переш л под контрол росийск сторон,1
204,откр секрет войн територ ср начал июн август красав блеснул ум,0
205,остановил блокпост,1
206,главно из брифинг алексе арестович харьковщин идут бо нескольк населеных пункт отбит противник противник безуспешн пытал штурмов рубежно попасн запорожск направлен противник безуспешн пытал продвиг район гуляйпол всу ведут активн маневрен оборон мариупол держит идут бо район азовст херсонск враг пытает наступ сторон николаев продолжает прибыв воен техник украин авиационы парк воздушных сил всу нескольк увеличил сказал арестович,1
207,девок закончил аргумет,0
208,російськ кінотеатр поч показув віде блогер закордон онлайн платформ позбавл монетизаці перш сеанс ч квітен московськ жовтен кін заслужит,0
209,признав кто поставил дизлайк,0
210,шлюшк что высрал теб дегенерат тво защитник трахают пар месяц им сказ одет юбк выйти сдач как оказал ва нацик любят пожестч принимают об щек піт тех пор дойд т размина хохл свин привет родител,0
211,підскажіт бут ласк де магазин де купит бойов черевик схож,0
212,байрактар прост дав,0
213,народ росі важ війн бут дурн дуж корисн бут розворушит осин гнізд реальн подивит відбув знищув незгодн,0
214,адмін неподобств,0
215,жител пол продолжают фиксиров прохожден эшелон с немецк воен техник которы движут восток дано виде снят во вроцлав,1
216,чут де,0
217,олярм,0
218,зараз літ балістичн ракет,1
219,білор вирішит розплачув борг рубл,0
220,красиво работ со,0
221,маріупол поверт жит співробітник мнс комунальн служб продовжув розбир зав відновлюв міст зруйнован українськ бойовик практичн будинок побачит люд прибир уламок скло допомог спецтехнік розбир зав розбит будинок вивозит вулиц ден зьявляєт більш люд повідомит прес служб народн міліц днр,0
222,бачит сьогодн бут велик пожеж пад бомб,1
223,знов слов вирван контекст,0
224,расхерячил детск садик,1
225,ты знаеш как мы жит ты рос,0
226,перфоратор працюв ранок,0
227,кмда попередж мешканец прав берег ки почутит гучн вибухнут спровокован знешкоджен авіабомб ірпен,0
228,сіст винтокрил,1
229,фотограф пакет куск картон грязн зеркал,0
230,а бабахнул,1
231,потр ботинк прям,0
232,самолет пролетел,1
233,как обстановк сах,0
234,обьєднуєм допомаг один оден довоєн час знат ім сусід сьогодн головн союзник готов підтрим поділит остан українськ волонтерськ служб підготув пошанов памьятк організув волонтерськ допомог серед сусід раз сил слав украин,0
235,тип прост было спокойн зде ушл поехал,0
236,страшн кадр ірпен через три тижден післ визволен міст невелик містечк київ післ вигнан окупант зьявил сотн свіж могил кладбищ знищен авт нараз сапер проводит робот розмінуван розбор завал відновлен інфраструктур хуєв ки запропонув новин,1
237,великобритан передаст украин ракет бримстон,1
238,львівщин робит фот віде місцев чут вибух про війн підпис,0
239,народ возможн перепут с уман раньш тако было,0
240,клітк падл возит міст україн людин висловит,0
241,донбас люд важ зелебоб потвор моральн ви радж рожев окуляр нацистськ символік знят час прозріт рос захищ донбас,0
242,удар тос солнцеп каменк харьковск област,1
243,тех пор пок уничтожен росийск вышка,0
244,трав наркотик світ курит ніщ,0
245,украинск защитник нанест так потер росийск окупант что то могут продолж войн привлечен солдат срочник перехват окупант расказывает что срочник пытают вырват дом мног кидают само пект войн подпис присл контент,0
246,мор летіт,1
247,никт пишет,0
248,сук знят летіт викласт оден груп,1
249,прилетіт кін ринок поч обстріл укрит,1
250,ніщ зрозуміт бут цікав,0
251,тип впаст рух міст,1
252,скажит мят непонимающ нельз ли взлом систем закупуск рос ракет перепрограмиров их чтоб перт вылет он сраз летел обратн откуд вылетел из ряд фантастик,0
253,харьк отправил пидар он сал готов идт под трибунал мы их жд м голов потсыл мамашк рашистк скаплив чтоб этих пидар плен брат,0
254,масштабн повітрян тривог багат регіон україн білоруськ канал попередж про зліт три винищувач рф аеродром надісл новин підпис,0
255,тож грат рол насправд ге,0
256,част,0
257,друз нагадув украин ноw відстежув різн мов світ ділит друг кордон достовірн джерел підписуйт инстагр інформаційн фронт трим оборон украин ноw иг украин ноw телеграм френч италиан хунгар спаниш украиненоwспаниш полишит словак туркиш гек ме украиненоwгрек португуес русиан,0
258,зараз повин вирішув нагріб куп грош йти неоплачуван відпустк відпустк виправл попередн зп розмір мінімальн оклад питан,0
259,химпоселок сирен работают,0
260,видел как он с автомат ходит,1
261,слав зсу слав україн,0
262,савинц как балакле появит связ киевстар ви друг оператор можн настройк сменит сет бут звонит сво тариф,0
263,штурмовы груп нм днр зачищают многоэтажк мариупол виде военкор,1
264,кп чернігіводоканал повідомл квітен о о о годин звьязк ремонтн робот теплопункт ат отк вулиц рокосовськ бут відсутн водопостачан адрес рокосовськ чо ч ч чб ч доцінк космонавт мешканец будинок варт зробит запас питн вод телефон аварійн диспетчерськ служб кп чернігіводоканал о о о о,0
266,высок вероятност ракетн удар,0
267,піт прям ліс,0
268,летящ руск штук летіт х черкас,0
269,годин збір рашкостан прав бут кол повернен україн встигнут взят те нахер,0
270,втратит оден захисник патріот,0
271,подивит повідомлен про тривог приблизн област ве україн,0
272,перегр знищит,0
273,вашингтон нет возможност конц отследит куд попадает отправлено киев воружен этом собщает цн со сылко источник пентагон информац собеседник телеканал сша ест нескольк способ узн куд имен направляют значительны поставк противотанков зенитн втор воружен територ украин падает больш черн дыру из коротк промежутк времен ви почет нет пониман где находит воружен собщил представител пентагон,1
274,говорит різн район ки вибух обстріл,1
275,сказ как личн видел что всу херячил из мин тов дім многоэтажк город что будеш сейчас доказыв что этог было,1
276,жит мат продовжув маріупол бут бут україн,0
277,черк змінит назв ряд вулиц черк топонімічн коміс сьогодн найменувал вулиц півден західн район вулиц олен теліг вулиц генад немц учасник російськ українськ війн пропозиц внест депутат катерин холупняк одностайн повернут історичн назв вул добровольськ вул сін вул толст вул соломьянськ вул мечнік вул гор вул ціолковськ вул півден вул волк вул гостромогильн перейменувал вул пушкін вул праведниц шулежк вул крил вул васил стус вул тит вул титарськ вул брат савченк вул авіатор касяненк вул василин вул симон петлюр вул карбишев вул вікент хвойк вул галин буркацьк вул мар чура вул генерал рибалк вул євген коновальц вул генерал коротєв вул юр тютюник вул можайськ вул степан бандер вул зо річ перемог проспект перемог,0
278,как высокоинтелектуальны бесед обсужден возможн проводит посол пок некоторых окн проходит сво бесполезн,0
279,зараз час грім скор бут бо,0
280,мост заминиров тепер нельз ходит,1
281,луначарц ракет бахнул,1
282,відівчит кишк хлєб вод постійн склянк задовбал,0
283,оруж куч пво периметр что знат ил что,1
284,блискуч відважн орлуш андр орл захищ україн стил шкідлив порад григор остер корисн порад окупант рад російськ танк вьїх міст українськ назустріч вийт два красун вишиванк нест світит посмішк три пляшк квіт радув мудил пляшк горілк бензин скор танк сран підпалит квіт подарув українськ солдат сьогодн дуж хоробр воюв герої_среди_м телеграм телеграм ен ыоутуб надісл фот віде,0
285,буч путлерівц застосув смертоносн збро годиник перш світов війн час окупац буч рашист застосовув смертоносн металев дротик флешет дротик російськ військ начинял снаряд бомбардув житлов будинок міст зазвича флештет застосовув відкрит місцевіст знищен жив сил противник рашист використ один інструмент знищен цивільн населен хуєв ки запропонув новин,1
286,во львів предлагают назв улиц чест иван вакарчук фонд иван вакарчук обратил городск гол львів с просьб переименов улиц геринг чест обществен политическ деятел многолетнег ректор львовск национальн университет им франк министр образован наук украин иван вакарчук львов ч,0
287,вон ван вспотел немн,0
288,пис дніпр прост жах коїт,1
289,мен сегодн крил повесил прутик клетк зуб,0
290,зараз грім бадьорит кращ ніжит кав,0
291,харьк росийск мразот денацифициров скамейк площадк ал горьк парк кстат почем пор горьк,1
292,збро куп пво периметр шо знат шо,1
293,знищен танк зсу високоточн боєприпас,1
294,он маргинал ватник пенсионер спекулируют,0
295,очевидец інформув боярк київ потрапит ракет поранен,1
296,когд их бахнет чтоб след ост,0
297,добр ранок сьогодн неділ квітен прогнозув похмур погод надвечір можлив дощ температур повітр вден тепл вдал ден ви баж команд суспільн черк,0
298,почем ест прил ты труд где сто всу промаз,1
299,пишут о попытк захват,1
300,школ краматорск посол прилет руск мир пуст путин маякнет что из этог счит помощ,1
301,чут добр прост далек слабк,1
302,воен разведк великобритан украинск сил отбивают многочислены попытк наступлен росийск войск разведк великобритан собщает что росийск обстрел донбас продолжают усилив перт этом воруженым сил рос мешают добит существен прогрес погодны услов материальн техническ проблем подпис присл контент,0
303,викоп транше ям каналізац кладк кирпич ям доставк установк кільц зверт телефон обзчб о,0
304,говорит кинут коктейл молот,1
305,населен николаев сократил почет вдво мэр город александр сенкевич войн николаев было окол о тысяч жител город полумилионик нет точных даных количеств выехавш люд мы регистрир так даны количеств собираем мусор использован питьев вод чо жител покинут город трух украин присл новост,0
