commenttext,spam
"🚧 19 апреля в работах по восстановлению дорог на Черниговщине было задействовано 47 работников и 30 единиц техники. Работали над обустройством временных проездов на трассах М-01 Киев – Чернигов, Н-27 Чернигов – Мена – Сосница – Гремяч, и Р-69 Киев – Вышгород – Десна – Чернигов. Переезд через реку Десна взамен разрушенных мостов организовать гораздо сложнее, но и над этим уже работают. 🛣 Дорожники также продолжали расчищать автодорогу М-01 от обломков и грунта, демонтировали поврежденные барьерные ограждения ✍️ Служба автодорог",false
Лучше чем о стеках в отпе,false
"Продолжаем нашу серию небольших уроков от А до Я. В сегодняшней статье поговорим об инструментах разработчика. Это последняя публикация подпункта Введение, далее начнем разбирать основы JavaScript. #lessons // JavaScript 🇺🇦",false
"😏Після звісток про поломку на ракетному крейсері ""Москва"" мисливці за металобрухтом вирушили на роботу 🔥Хуєвий Київ 18⛑ | Запропонувати новину✍🏼",false
"я собі виключивши авто новлення, н тіктоку пуфік",false
"Там рассказывают, откуда готовился приступ",false
Коли ці орки вже поздихають 😡😡😡,true
"«Пентагон заявил, что Украина недавно получила партию самолетов  Недавно в Украину были доставлены дополнительные самолеты и их части, заявил во вторник пресс-секретарь Пентагона Джон Кирби.  По словам Кирби, США помогли с доставкой дополнительных запасных частей, но не перевозили «целый» самолет. Он не уточнил, какая страна/страны предоставили самолет.»  Очень интересно, но нихуя непонятно пока что.",false
"🇺🇦🇷🇺Репортаж ""Известий"" по роботі ""Гвоздик"" на околицях Попасної Самохідні артилерійські установки 2С1 ""Гвоздика"" НМ ДНР працюють по ЗСУ на околицях Попасної. Відео: @izvestia @anna_news",true
ФСБ росії розповсюдило заяву про обстріл прикордонного пункту в Брянській області «з боку України».,true
Добрый вечер семья,false
"Операційна. Медсестра кричить: - У нього з'явився пульс, він повертається! Тут лікар вирубає електрику: – Повертатися – погана прикмета.",false
"Мене дико тішить, що в зачатках розуму свиньособак народжується думка",false
горит солнце,false
Без швидкої ще і поліції,false
"В районе Седова только что пролетело что-то очень низко, похоже наши",true
Укронацисти з НГУ та тероборони продовжують задовольняти свої садистські потреби під Києвом.,true
"Идея🔥Снимем видео где заранее попросим украинского пленного переодетого в форму ВСУ пустить ракеты в сторону ФРГ, но предварительно соврем, что ВСУ угнали Искандер, потом по-тихому спрячем его, а там скажем поймали и расстреляли. И с этим видео в ООН как доказательство, авось прокатит, у Украины и США прокатывает ведь. 🤣.",true
"Фейк: Програма ТikTok більше не доступна в Apple store для російських користувачів. Правда: ТikTok нікуди не зникав. Програма протягом кількох годин не відображалася за запитами «тикток» та «tiktok», проте залишалася в рейтингах App Store, доступних за прямим посиланням, а також у меню Покупки. Наразі ж проблему з пошуком усунули. Нагадаємо, останнім часом у мережі з'являється багато інформації про видалення того чи іншого сервісу або програми. Кожне з них потрібно перевіряти, бо далеко не всі вони відповідають дійсності. Наприклад, ми розбирали фейк про те, що росіяни нібито втратить доступ до WhatsApp. Однак це не підтвердилося, а месенджер продовжує працювати.",false
"Кожного вечора біля 22:00,оголошують тривогу",false
"Если дело так пойдет, то гимн Украины этим идиотам придется корректировать примерно через неделю-вторую. Ну, или жизнь сама скорректирует. В плане ""ще не вмерла"" на ""вже померла"".",true
"Звідусіль передають, що на днях може зникнути зв'язок і інтернет. Продумуємо альтернативні способи зв'язку і не панікуєм...",false
В мене будинок труситься,true
Прям сьогодні та прям зараз відбувається квартирник у сховищі,false
Сам Господь береже наших Козаків,false
"❗️ЗСУ в Харківській області завдали серйозних втрат командному складу дивізії окупантів Продовжує надходити інформація про втрати серед командного складу 2 мотострілецької дивізії (в/ч 23626, Калінінець, Московська область) Як повідомляє журналіст Роман Цимбалюк, заступник командира 2 мсд підполковник . Командир 1 мотострілецького полку (в/ч 31135, Калінінець) 2 мсд, підполковник Межуєв Денис – загинув. Командир 15 мотострілецького полку (в/ч 31134, Калінінець) 2 мсд, полковник Харитонов – важко поранений.",true
Може викликати людей в білих халатах?,false
Фауна. Раньше принимали животных во внерабочее время,false
Какой дорогой лучше ехать в черкассы,false
Channel mode enabled. Only admins can send messages. Other messages will be deleted. Call the command again to disable.,false
птицы в падлую сливать,true
просто теж готовлю на кухні,false
"Брат пошел в Армию, хочу хоть как-то помочь, хотя бы удобной обувью",false
"сидел в тиктоке, смотрел 5 минут видос от военного, как пользоваться джевелином",true
"У Львові та області повідомляють про те, що було чути вибухи. Повітряна тривога триває. Чекаємо на офіційну інформацію. 👉🏻 Підписатися | Написати нам",true
"Як би дивно не звучало, але на відосі чути як оператор каже ""підераси єбанІ"" а не єбаніє",false
Сейчас по ней идут наши войска по направлению к Славянску,true
На дні моря,false
У Харківській області сили протиповітряної оборони України збили російський бойовий літак.,true
И не ехала смотреть что горит,true
постійно бабахає,true
Знайшов сьогодні міну поруч із мостом,true
Может кто то подскажет что это бахает в районе полигона?,true
підробіток у воєнний час,true
их мнение вообще трудно понять.. и их действия.,false
Да на химпасе не чутно было,true
"А шо їй писати? Як Садовий чи як Геращенко, щоб лупили по тим же місяцям?",true
❗️Белорусские коллеги сообщают о вылете истребителя Оставайтесь в укрытиях! ⚡️Максимальный репост ❗️ Humor RU 🇺🇦 | ПОДПИСАТЬСЯ,true
Варю борщ без квасолі кому поштою?,false
"Поставити в музей, щоб вуса поколиння плювали на дитину сатані!",false
окупировали россияне,false
Це робили на замовлення. Контакти на жаль загубилися,false
Вони були в маріці спочатку?,false
"Сьогодні багато роботи, тому атакуємо!",true
"- ""Азов"", выйди на окраину города, и там воюй! Что вы за цирк устроили в Мариуполе! Житель Мариуполя.",true
Он в ВСУ был?,true
Спросите у солдат ВСУ) В последние дни все больше видео,false
Аэропорт Мариуполя перешёл под контроль российской стороны.,true
"Открою секрет Война на территории ссср началась в июне😂😂😂 А не в августе Красава,блеснула умом",false
Остановили на блокпосте,true
"Главное из брифинга Алексея Арестовича:  - На Харьковщине идут бои — несколько населенных пунктов отбиты у противника;  - Противник безуспешно пытался штурмовать Рубежное и Попасную;  - На Запорожском направлении противник безуспешно пытался продвигаться в районе Гуляйполя. ВСУ ведут активную маневренную оборону;  - Мариуполь держится, идут бои в районе ""Азовстали"";  - На Херсонском – враг пытается наступать в сторону Николаева;  - Продолжает прибывать военная техника в Украину. ""Авиационный парк Воздушных сил ВСУ несколько увеличился"", - сказал Арестович",true
У девок закончились аргуметы,false
"Російські кінотеатри почнуть показувати відео блогерів, яких закордонні онлайн-платформи позбавляють монетизації. Перший сеанс 4 квітня у московському ""Жовтні"". кіно яке ви заслужили 🤡",false
ПРИЗНАВАЙТЕСЬ КТО ПОСТАВИЛ ДИЗЛАЙК????!?!!,false
"Шлюшка это та что высрала тебя дегенератом. Так твоих защитников трахают уже пару месяцев, им сказали одеть юбки и выйти на сдачу, как оказалось ваши нацики любят пожестче. Принимают за обе щеки, потом и до тех пор дойдёт. Разминайся Хохло-свин и привет родителям!",false
"Підскажіть, будь ласка де є магазини де можна купити Бойові черевики або щось схоже",false
І байрактари ніхто так просто не дає,false
"Народ Росії не вважає, що війна була дурна дуже корисно було розворушити осинне гніздо і реально подивитися, що там відбувається і як знищують незгодних.",false
Адмін що це за неподобство?,false
"Жители Польши продолжают фиксировать прохождение эшелонов с немецкой военной техникой, которые движутся на восток. Данное видео снято во Вроцлаве.  @voenkorKotenok",true
Я теж чув але не там де ви,false
Оллярм!,false
зараз літають балістичні ракети,true
Білорусь теж вирішила розплачуватись за боргами рублями,false
Красивое☺️ Работа наших ССО💪🏻,false
"✊🏻У Маріуполь повертається життя Співробітники МНС та комунальних служб продовжують розбирати завали та відновлювати місто, зруйноване українськими бойовиками ""Практично біля кожного будинку можна побачити людей, що прибирають уламки скла, за допомогою спецтехніки розбираються завали розбитих будинків, і вивозиться ще. на вулицях з кожним днем з'являється все більше людей"", - повідомила прес-служба Народної міліції ДНР.",false
Бачив сьогодні була велика пожежа і падали бомби,true
Знову ж таки слова вирвані з контексту,false
Расхерячили детский садик(,true
А ты знаешь как мы живем? Ты был в России?,false
перфоратор працює все ранок,false
"🙏У КМДА попереджають, що мешканці правого берега Києва можуть почути гучний вибух, спровокований знешкодженням авіабомбі в Ірпені.",false
сів винтокрил,true
"Фотографию пакета, куска картона и грязного зеркала 😂",false
АА Бабахнулл,true
Потрі ботинки прям тут,false
самолет пролетел,true
Как обстановки на Сах?,false
"✊Об'єднуємося та допомагаємо один одному! 🏡 У довоєнний час ми могли навіть не знати імен наших сусідів. Сьогодні ж вони — наші головні союзники, готові підтримати та поділитися останнім. Українська Волонтерська Служба підготувала пошанову пам'ятку, як організувати волонтерську допомогу серед сусідів. 🇺🇦Разом ми сила! Слава Украине!",false
Ну типа не просто было спокойно и здесь ушло поехало,false
"Страшні кадри з Ірпеня через три тижні після визволення міста У невеликому містечку під Київом після вигнання окупантів з'явилися сотні свіжих могил та кладбище знищених авто. Наразі сапери проводять роботи з розмінування, розбору завалів та відновлення інфраструктури. 🔥Хуєвий Київ 18⛑ | Запропонувати новину✍🏼",true
